First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
17,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",Millennial,2173,2262,89,0.04,0.27,0.28,0.01
33,33-3041,Parking Enforcement Workers,Millennial,2058,2143,85,0.04,0.19,0.19,0
19,19-3092,Geographers,Millennial,409,494,85,0.21,0.29,0.29,0
33,33-9031,Gaming Surveillance Officers and Gaming Investigators,Millennial,2266,2345,79,0.03,0.23,0.24,0.01
53,53-6011,Bridge and Lock Tenders,Millennial,528,594,66,0.13,0.15,0.15,0
27,27-4011,Audio and Video Equipment Technicians,Millennial,27323,27387,64,0,0.38,0.38,0
33,33-9011,Animal Control Workers,Millennial,2769,2831,62,0.02,0.2,0.2,0
15,15-2099,"Mathematical Science Occupations, All Other",Millennial,560,619,59,0.11,0.41,0.4,-0.01
17,17-2121,Marine Engineers and Naval Architects,Millennial,1853,1910,57,0.03,0.24,0.24,0
25,25-9011,Audio-Visual and Multimedia Collections Specialists,Millennial,1557,1612,55,0.04,0.17,0.17,0
19,19-1099,"Life Scientists, All Other",Millennial,2287,2338,51,0.02,0.25,0.25,0
29,29-1029,"Dentists, All Other Specialists",Millennial,1294,1344,50,0.04,0.2,0.21,0.01
47,47-5021,"Earth Drillers, Except Oil and Gas",Millennial,7819,7866,47,0.01,0.38,0.38,0
45,45-3021,Hunters and Trappers,Millennial,284,329,45,0.16,0.14,0.15,0.01
35,35-2013,"Cooks, Private Household",Millennial,241,286,45,0.19,0.13,0.14,0.01
27,27-1019,"Artists and Related Workers, All Other",Millennial,2838,2880,42,0.01,0.2,0.21,0.01
11,nov-61,Emergency Management Directors,Millennial,1408,1446,38,0.03,0.15,0.15,0
13,13-1074,Farm Labor Contractors,Millennial,264,302,38,0.14,0.19,0.18,-0.01
37,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Millennial,9570,9607,37,0,0.29,0.3,0.01
53,53-5021,"Captains, Mates, and Pilots of Water Vessels",Millennial,8196,8232,36,0,0.23,0.22,-0.01
27,27-1027,Set and Exhibit Designers,Millennial,3548,3581,33,0.01,0.33,0.34,0.01
39,39-3019,"Gaming Service Workers, All Other",Millennial,3387,3419,32,0.01,0.23,0.24,0.01
51,51-3099,"Food Processing Workers, All Other",Millennial,11350,11378,28,0,0.28,0.29,0.01
19,19-1012,Food Scientists and Technologists,Millennial,3491,3519,28,0.01,0.24,0.23,-0.01
43,43-2099,"Communications Equipment Operators, All Other",Millennial,720,747,27,0.04,0.23,0.24,0.01
19,19-1022,Microbiologists,Millennial,6661,6687,26,0,0.36,0.34,-0.02
45,45-2021,Animal Breeders,Millennial,1620,1645,25,0.02,0.39,0.41,0.02
19,19-2011,Astronomers,Millennial,516,541,25,0.05,0.21,0.22,0.01
17,17-2021,Agricultural Engineers,Millennial,749,773,24,0.03,0.28,0.27,-0.01
47,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,Millennial,7525,7547,22,0,0.29,0.3,0.01
49,49-9097,Signal and Track Switch Repairers,Millennial,1844,1865,21,0.01,0.2,0.2,0
15,15-2091,Mathematical Technicians,Millennial,525,546,21,0.04,0.37,0.38,0.01
11,nov-61,Funeral Service Managers,Millennial,998,1018,20,0.02,0.1,0.1,0
53,53-7041,Hoist and Winch Operators,Millennial,962,982,20,0.02,0.33,0.34,0.01
29,29-2054,Respiratory Therapy Technicians,Millennial,5412,5430,18,0,0.39,0.4,0.01
51,51-9082,Medical Appliance Technicians,Millennial,3183,3199,16,0.01,0.24,0.25,0.01
41,41-9012,Models,Millennial,2602,2618,16,0.01,0.27,0.28,0.01
29,29-1022,Oral and Maxillofacial Surgeons,Millennial,1349,1360,11,0.01,0.19,0.19,0
39,39-4031,"Morticians, Undertakers, and Funeral Directors",Millennial,3717,3727,10,0,0.15,0.14,-0.01
39,39-7012,Travel Guides,Millennial,1062,1072,10,0.01,0.16,0.17,0.01
53,53-4041,Subway and Streetcar Operators,Millennial,1602,1608,6,0,0.17,0.16,-0.01
53,53-4099,"Rail Transportation Workers, All Other",Millennial,521,526,5,0.01,0.16,0.16,0
13,13-1021,"Buyers and Purchasing Agents, Farm Products",Millennial,2468,2472,4,0,0.19,0.2,0.01
51,51-9193,Cooling and Freezing Equipment Operators and Tenders,Millennial,2451,2453,2,0,0.29,0.29,0
29,29-1024,Prosthodontists,Millennial,110,109,-1,-0.01,0.17,0.17,0
33,33-3052,Transit and Railroad Police,Millennial,674,671,-3,0,0.15,0.15,0
53,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Millennial,824,816,-8,-0.01,0.15,0.14,-0.01
11,nov-21,Human Resources Managers,Millennial,20796,20785,-11,0,0.19,0.19,0
33,33-2022,Forest Fire Inspectors and Prevention Specialists,Millennial,270,257,-13,-0.05,0.12,0.12,0
27,27-3099,"Media and Communication Workers, All Other",Millennial,8619,8599,-20,0,0.28,0.28,0
49,49-9092,Commercial Divers,Millennial,1393,1370,-23,-0.02,0.25,0.25,0
39,39-5093,Shampooers,Millennial,8295,8271,-24,0,0.36,0.37,0.01
53,53-5031,Ship Engineers,Millennial,3513,3489,-24,-0.01,0.3,0.3,0
53,53-6041,Traffic Technicians,Millennial,1256,1232,-24,-0.02,0.18,0.18,0
49,49-2091,Avionics Technicians,Millennial,4132,4105,-27,-0.01,0.24,0.24,0
49,49-9069,"Precision Instrument and Equipment Repairers, All Other",Millennial,2079,2052,-27,-0.01,0.17,0.16,-0.01
39,39-4011,Embalmers,Millennial,403,372,-31,-0.08,0.08,0.07,-0.01
11,nov-71,Gaming Managers,Millennial,984,950,-34,-0.03,0.19,0.19,0
11,nov-31,Training and Development Managers,Millennial,5223,5188,-35,-0.01,0.19,0.19,0
33,33-2021,Fire Inspectors and Investigators,Millennial,2157,2122,-35,-0.02,0.18,0.18,0
15,15-1122,Information Security Analysts,Millennial,19551,19514,-37,0,0.27,0.25,-0.02
23,23-1022,"Arbitrators, Mediators, and Conciliators",Millennial,1440,1400,-40,-0.03,0.18,0.17,-0.01
19,19-3051,Urban and Regional Planners,Millennial,9120,9074,-46,-0.01,0.24,0.23,-0.01
53,53-7031,Dredge Operators,Millennial,353,305,-48,-0.14,0.13,0.13,0
53,53-3021,"Bus Drivers, Transit and Intercity ",Millennial,27440,27382,-58,0,0.16,0.16,0
53,53-5022,Motorboat Operators,Millennial,849,791,-58,-0.07,0.21,0.19,-0.02
51,51-6041,Shoe and Leather Workers and Repairers,Millennial,1381,1320,-61,-0.04,0.12,0.15,0.03
51,51-8091,Chemical Plant and System Operators,Millennial,6516,6452,-64,-0.01,0.16,0.17,0.01
51,51-8031,Water and Wastewater Treatment Plant and System Operators,Millennial,22671,22604,-67,0,0.21,0.21,0
27,27-4013,Radio Operators,Millennial,384,317,-67,-0.17,0.23,0.21,-0.02
33,33-3031,Fish and Game Wardens,Millennial,1174,1105,-69,-0.06,0.17,0.16,-0.01
49,49-9064,Watch Repairers,Millennial,482,413,-69,-0.14,0.07,0.08,0.01
33,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Millennial,13064,12985,-79,-0.01,0.21,0.21,0
49,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,Millennial,7780,7695,-85,-0.01,0.25,0.26,0.01
19,19-2032,Materials Scientists,Millennial,2034,1949,-85,-0.04,0.25,0.25,0
51,51-4061,"Model Makers, Metal and Plastic",Millennial,387,301,-86,-0.22,0.06,0.05,-0.01
17,17-3024,Electro-Mechanical Technicians,Millennial,3621,3534,-87,-0.02,0.2,0.2,0
47,47-2072,Pile-Driver Operators,Millennial,971,877,-94,-0.1,0.19,0.19,0
45,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Millennial,8693,8597,-96,-0.01,0.17,0.17,0
33,33-3011,Bailiffs,Millennial,3243,3141,-102,-0.03,0.19,0.19,0
53,53-2022,Airfield Operations Specialists,Millennial,1861,1757,-104,-0.06,0.25,0.24,-0.01
49,49-9095,Manufactured Building and Mobile Home Installers,Millennial,1351,1247,-104,-0.08,0.23,0.36,0.13
23,23-1012,Judicial Law Clerks,Millennial,2346,2235,-111,-0.05,0.17,0.19,0.02
15,15-2031,Operations Research Analysts,Millennial,17048,16934,-114,-0.01,0.24,0.23,-0.01
51,51-7031,"Model Makers, Wood",Millennial,299,185,-114,-0.38,0.12,0.09,-0.03
25,25-2023,"Career/Technical Education Teachers, Middle School",Millennial,3617,3501,-116,-0.03,0.19,0.2,0.01
51,51-8099,"Plant and System Operators, All Other",Millennial,2116,1999,-117,-0.06,0.17,0.17,0
27,27-2042,Musicians and Singers,Millennial,40956,40837,-119,0,0.22,0.22,0
43,43-3061,Procurement Clerks,Millennial,16307,16187,-120,-0.01,0.22,0.22,0
53,53-5011,Sailors and Marine Oilers,Millennial,10678,10552,-126,-0.01,0.31,0.31,0
13,13-2051,Financial Analysts,Millennial,106994,106866,-128,0,0.42,0.41,-0.01
23,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Millennial,3057,2920,-137,-0.04,0.2,0.2,0
43,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",Millennial,43930,43786,-144,0,0.29,0.29,0
51,51-9194,Etchers and Engravers,Millennial,2008,1855,-153,-0.08,0.18,0.2,0.02
51,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Millennial,4556,4395,-161,-0.04,0.26,0.26,0
11,nov-31,"Education Administrators, Preschool and Childcare Center/Program",Millennial,15968,15806,-162,-0.01,0.23,0.24,0.01
29,29-1011,Chiropractors,Millennial,12465,12300,-165,-0.01,0.26,0.27,0.01
43,43-9111,Statistical Assistants,Millennial,4272,4106,-166,-0.04,0.28,0.27,-0.01
23,23-2091,Court Reporters,Millennial,5750,5582,-168,-0.03,0.19,0.19,0
41,41-9099,"Sales and Related Workers, All Other",Millennial,34741,34571,-170,0,0.23,0.22,-0.01
17,17-1021,Cartographers and Photogrammetrists,Millennial,3603,3430,-173,-0.05,0.29,0.28,-0.01
19,19-1032,Foresters,Millennial,2298,2108,-190,-0.08,0.21,0.2,-0.01
49,49-3022,Automotive Glass Installers and Repairers,Millennial,6332,6139,-193,-0.03,0.33,0.34,0.01
45,45-4011,Forest and Conservation Workers,Millennial,4711,4512,-199,-0.04,0.31,0.3,-0.01
49,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Millennial,3612,3412,-200,-0.06,0.22,0.21,-0.01
17,17-3021,Aerospace Engineering and Operations Technicians,Millennial,1904,1703,-201,-0.11,0.18,0.17,-0.01
51,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Millennial,6381,6177,-204,-0.03,0.25,0.25,0
51,51-8021,Stationary Engineers and Boiler Operators,Millennial,5650,5444,-206,-0.04,0.15,0.15,0
47,47-4091,Segmental Pavers,Millennial,1010,802,-208,-0.21,0.4,0.4,0
39,39-1012,Slot Supervisors,Millennial,2082,1867,-215,-0.1,0.2,0.19,-0.01
51,51-6051,"Sewers, Hand",Millennial,894,676,-218,-0.24,0.1,0.09,-0.01
27,27-4031,"Camera Operators, Television, Video, and Motion Picture",Millennial,7642,7414,-228,-0.03,0.34,0.34,0
27,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Millennial,6010,5780,-230,-0.04,0.2,0.21,0.01
53,53-1011,Aircraft Cargo Handling Supervisors,Millennial,2065,1833,-232,-0.11,0.28,0.26,-0.02
23,23-2099,"Legal Support Workers, All Other",Millennial,15252,15016,-236,-0.02,0.27,0.27,0
51,51-9197,Tire Builders,Millennial,4602,4364,-238,-0.05,0.23,0.24,0.01
27,27-3021,Broadcast News Analysts,Millennial,2402,2161,-241,-0.1,0.33,0.29,-0.04
37,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Millennial,42110,41867,-243,-0.01,0.26,0.26,0
47,47-2142,Paperhangers,Millennial,792,544,-248,-0.31,0.07,0.08,0.01
11,nov-11,Administrative Services Managers,Millennial,41208,40958,-250,-0.01,0.15,0.15,0
51,51-6042,Shoe Machine Operators and Tenders,Millennial,1319,1069,-250,-0.19,0.31,0.32,0.01
23,23-1023,"Judges, Magistrate Judges, and Magistrates",Millennial,5845,5593,-252,-0.04,0.2,0.2,0
53,53-3099,"Motor Vehicle Operators, All Other",Millennial,10685,10424,-261,-0.02,0.16,0.15,-0.01
17,17-2131,Materials Engineers,Millennial,5629,5367,-262,-0.05,0.24,0.24,0
11,nov-11,Compensation and Benefits Managers,Millennial,3588,3325,-263,-0.07,0.17,0.17,0
53,53-6061,"Transportation Attendants, Except Flight Attendants ",Millennial,4842,4574,-268,-0.06,0.2,0.19,-0.01
49,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",Millennial,10101,9831,-270,-0.03,0.23,0.24,0.01
27,27-4014,Sound Engineering Technicians,Millennial,7807,7515,-292,-0.04,0.39,0.38,-0.01
39,39-4021,Funeral Attendants,Millennial,3594,3301,-293,-0.08,0.11,0.1,-0.01
11,nov-21,Computer and Information Systems Managers,Millennial,66751,66457,-294,0,0.21,0.2,-0.01
33,33-3051,Police and Sheriff's Patrol Officers,Millennial,145854,145554,-300,0,0.22,0.22,0
51,51-4194,"Tool Grinders, Filers, and Sharpeners",Millennial,1881,1560,-321,-0.17,0.14,0.13,-0.01
27,27-3042,Technical Writers,Millennial,9058,8723,-335,-0.04,0.18,0.17,-0.01
27,27-1026,Merchandise Displayers and Window Trimmers,Millennial,32527,32191,-336,-0.01,0.39,0.39,0
49,49-9096,Riggers,Millennial,5519,5178,-341,-0.06,0.34,0.33,-0.01
43,43-4021,Correspondence Clerks,Millennial,3188,2847,-341,-0.11,0.28,0.27,-0.01
27,27-1029,"Designers, All Other",Millennial,3876,3528,-348,-0.09,0.34,0.34,0
53,53-7199,"Material Moving Workers, All Other",Millennial,7012,6659,-353,-0.05,0.23,0.23,0
33,33-1011,First-Line Supervisors of Correctional Officers,Millennial,10250,9888,-362,-0.04,0.22,0.21,-0.01
45,45-4023,Log Graders and Scalers,Millennial,1233,843,-390,-0.32,0.28,0.26,-0.02
47,47-5051,"Rock Splitters, Quarry",Millennial,1939,1548,-391,-0.2,0.36,0.35,-0.01
49,49-2092,"Electric Motor, Power Tool, and Related Repairers",Millennial,4781,4384,-397,-0.08,0.22,0.22,0
51,51-6092,Fabric and Apparel Patternmakers,Millennial,1586,1183,-403,-0.25,0.18,0.18,0
27,27-1012,Craft Artists,Millennial,3813,3408,-405,-0.11,0.15,0.15,0
17,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Millennial,4784,4368,-416,-0.09,0.19,0.18,-0.01
39,39-1011,Gaming Supervisors,Millennial,6058,5636,-422,-0.07,0.2,0.2,0
45,45-4029,"Logging Workers, All Other",Millennial,1630,1204,-426,-0.26,0.25,0.24,-0.01
17,17-2041,Chemical Engineers,Millennial,7691,7263,-428,-0.06,0.23,0.22,-0.01
51,51-6052,"Tailors, Dressmakers, and Custom Sewers",Millennial,4628,4199,-429,-0.09,0.08,0.08,0
53,53-7121,"Tank Car, Truck, and Ship Loaders",Millennial,3578,3144,-434,-0.12,0.25,0.24,-0.01
17,17-2011,Aerospace Engineers,Millennial,15693,15254,-439,-0.03,0.19,0.19,0
11,nov-61,Purchasing Managers,Millennial,10911,10446,-465,-0.04,0.15,0.15,0
51,51-4192,"Layout Workers, Metal and Plastic",Millennial,3572,3103,-469,-0.13,0.25,0.24,-0.01
43,43-4061,"Eligibility Interviewers, Government Programs",Millennial,30141,29657,-484,-0.02,0.22,0.23,0.01
43,43-5011,Cargo and Freight Agents,Millennial,25875,25391,-484,-0.02,0.33,0.31,-0.02
43,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Millennial,19501,19004,-497,-0.03,0.26,0.27,0.01
13,13-1032,"Insurance Appraisers, Auto Damage",Millennial,3620,3097,-523,-0.14,0.27,0.25,-0.02
47,47-2231,Solar Photovoltaic Installers,Millennial,2776,2246,-530,-0.19,0.39,0.38,-0.01
51,51-4199,"Metal Workers and Plastic Workers, All Other",Millennial,5663,5124,-539,-0.1,0.24,0.23,-0.01
43,43-4031,"Court, Municipal, and License Clerks",Millennial,27273,26731,-542,-0.02,0.21,0.21,0
51,51-4051,Metal-Refining Furnace Operators and Tenders,Millennial,5511,4951,-560,-0.1,0.25,0.25,0
51,51-9081,Dental Laboratory Technicians,Millennial,9261,8695,-566,-0.06,0.22,0.21,-0.01
27,27-1014,Multimedia Artists and Animators,Millennial,15271,14691,-580,-0.04,0.24,0.24,0
47,47-4021,Elevator Installers and Repairers,Millennial,6748,6160,-588,-0.09,0.31,0.29,-0.02
43,43-9081,Proofreaders and Copy Markers,Millennial,3497,2908,-589,-0.17,0.23,0.21,-0.02
33,33-2011,Firefighters,Millennial,66475,65885,-590,-0.01,0.22,0.22,0
51,51-7099,"Woodworkers, All Other",Millennial,2576,1968,-608,-0.24,0.15,0.14,-0.01
33,33-1012,First-Line Supervisors of Police and Detectives,Millennial,22287,21668,-619,-0.03,0.21,0.21,0
51,51-2031,Engine and Other Machine Assemblers,Millennial,9356,8736,-620,-0.07,0.21,0.21,0
11,nov-11,Advertising and Promotions Managers,Millennial,13682,13060,-622,-0.05,0.41,0.41,0
11,nov-32,"Education Administrators, Elementary and Secondary School",Millennial,46603,45967,-636,-0.01,0.2,0.21,0.01
27,27-2012,Producers and Directors,Millennial,37724,37088,-636,-0.02,0.34,0.34,0
43,43-2021,Telephone Operators,Millennial,4095,3456,-639,-0.16,0.32,0.31,-0.01
51,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Millennial,3985,3336,-649,-0.16,0.16,0.16,0
49,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairs",Millennial,5841,5185,-656,-0.11,0.33,0.29,-0.04
51,51-4052,"Pourers and Casters, Metal",Millennial,3372,2683,-689,-0.2,0.27,0.26,-0.01
11,11-1031,Legislators,Millennial,12342,11644,-698,-0.06,0.2,0.21,0.01
49,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",Millennial,27784,27084,-700,-0.03,0.22,0.22,0
51,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Millennial,5944,5236,-708,-0.12,0.14,0.14,0
11,nov-31,Postmasters and Mail Superintendents,Millennial,2353,1641,-712,-0.3,0.08,0.07,-0.01
51,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Millennial,36018,35293,-725,-0.02,0.25,0.25,0
51,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Millennial,3976,3247,-729,-0.18,0.22,0.23,0.01
25,25-2054,"Special Education Teachers, Secondary School",Millennial,29133,28392,-741,-0.03,0.22,0.22,0
51,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,5953,5209,-744,-0.12,0.23,0.22,-0.01
49,49-3051,Motorboat Mechanics and Service Technicians,Millennial,6756,6007,-749,-0.11,0.26,0.26,0
51,51-2021,"Coil Winders, Tapers, and Finishers",Millennial,3336,2586,-750,-0.22,0.2,0.18,-0.02
19,19-4031,Chemical Technicians,Millennial,15279,14522,-757,-0.05,0.24,0.23,-0.01
27,27-1022,Fashion Designers,Millennial,9022,8260,-762,-0.08,0.38,0.4,0.02
47,47-4051,Highway Maintenance Workers,Millennial,30894,30115,-779,-0.03,0.21,0.21,0
41,41-2012,Gaming Change Persons and Booth Cashiers,Millennial,7263,6481,-782,-0.11,0.28,0.29,0.01
45,45-4021,Fallers,Millennial,2849,2063,-786,-0.28,0.25,0.23,-0.02
51,51-4071,Foundry Mold and Coremakers,Millennial,3557,2768,-789,-0.22,0.23,0.23,0
53,53-6099,"Transportation Workers, All Other",Millennial,10220,9420,-800,-0.08,0.26,0.26,0
49,49-3011,Aircraft Mechanics and Service Technicians,Millennial,24763,23913,-850,-0.03,0.2,0.2,0
29,29-1021,"Dentists, General",Millennial,26841,25984,-857,-0.03,0.2,0.2,0
49,49-3092,Recreational Vehicle Service Technicians,Millennial,4679,3779,-900,-0.19,0.32,0.32,0
47,47-2011,Boilermakers,Millennial,5681,4775,-906,-0.16,0.27,0.26,-0.01
33,33-9091,Crossing Guards,Millennial,15278,14364,-914,-0.06,0.2,0.21,0.01
51,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,8716,7798,-918,-0.11,0.22,0.23,0.01
49,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",Millennial,42451,41518,-933,-0.02,0.31,0.31,0
47,47-2053,Terrazzo Workers and Finishers,Millennial,2662,1715,-947,-0.36,0.37,0.33,-0.04
53,53-2012,Commercial Pilots,Millennial,7552,6584,-968,-0.13,0.19,0.18,-0.01
15,15-1152,Computer Network Support Specialists,Millennial,61833,60849,-984,-0.02,0.34,0.33,-0.01
43,43-3041,Gaming Cage Workers,Millennial,5856,4850,-1006,-0.17,0.27,0.26,-0.01
17,17-2199,"Engineers, All Other",Millennial,32380,31359,-1021,-0.03,0.23,0.22,-0.01
51,51-9151,Photographic Process Workers and Processing Machine Operators,Millennial,17777,16739,-1038,-0.06,0.35,0.37,0.02
51,51-9031,"Cutters and Trimmers, Hand",Millennial,4340,3298,-1042,-0.24,0.25,0.22,-0.03
13,13-1022,"Wholesale and Retail Buyers, Except Farm Products",Millennial,33202,32156,-1046,-0.03,0.26,0.26,0
51,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Millennial,3872,2819,-1053,-0.27,0.17,0.15,-0.02
11,nov-71,"Transportation, Storage, and Distribution Managers",Millennial,21445,20360,-1085,-0.05,0.2,0.19,-0.01
51,51-9123,"Painting, Coating, and Decorating Workers",Millennial,5699,4605,-1094,-0.19,0.26,0.26,0
13,13-1075,Labor Relations Specialists,Millennial,13173,12078,-1095,-0.08,0.16,0.15,-0.01
51,51-9011,Chemical Equipment Operators and Tenders,Millennial,11280,10182,-1098,-0.1,0.18,0.17,-0.01
51,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,6723,5618,-1105,-0.16,0.26,0.25,-0.01
43,43-4141,New Accounts Clerks,Millennial,22973,21859,-1114,-0.05,0.39,0.4,0.01
51,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Millennial,6506,5378,-1128,-0.17,0.27,0.26,-0.01
13,13-2021,Appraisers and Assessors of Real Estate,Millennial,19614,18459,-1155,-0.06,0.2,0.21,0.01
47,47-3016,Helpers--Roofers,Millennial,5664,4496,-1168,-0.21,0.35,0.36,0.01
51,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Millennial,4592,3379,-1213,-0.26,0.19,0.17,-0.02
53,53-7011,Conveyor Operators and Tenders,Millennial,14600,13382,-1218,-0.08,0.33,0.33,0
47,47-2043,Floor Sanders and Finishers,Millennial,4138,2914,-1224,-0.3,0.38,0.36,-0.02
27,27-1011,Art Directors,Millennial,16859,15634,-1225,-0.07,0.24,0.25,0.01
27,27-3043,Writers and Authors,Millennial,25783,24530,-1253,-0.05,0.2,0.2,0
25,25-2032,"Career/Technical Education Teachers, Secondary School",Millennial,18614,17341,-1273,-0.07,0.21,0.21,0
13,13-2041,Credit Analysts,Millennial,28936,27645,-1291,-0.04,0.45,0.44,-0.01
51,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Millennial,8055,6760,-1295,-0.16,0.2,0.19,-0.01
11,nov-21,Marketing Managers,Millennial,47921,46625,-1296,-0.03,0.26,0.24,-0.02
51,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Millennial,8646,7349,-1297,-0.15,0.26,0.25,-0.01
47,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Millennial,22101,20799,-1302,-0.06,0.39,0.4,0.01
49,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",Millennial,5802,4500,-1302,-0.22,0.42,0.37,-0.05
49,49-3052,Motorcycle Mechanics,Millennial,6507,5179,-1328,-0.2,0.32,0.31,-0.01
17,17-3027,Mechanical Engineering Technicians,Millennial,10749,9416,-1333,-0.12,0.21,0.2,-0.01
53,53-7021,Crane and Tower Operators,Millennial,11184,9848,-1336,-0.12,0.22,0.21,-0.01
13,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Millennial,25822,24456,-1366,-0.05,0.27,0.27,0
47,47-3019,"Helpers, Construction Trades, All Other",Millennial,10965,9570,-1395,-0.13,0.38,0.4,0.02
13,13-2082,Tax Preparers,Millennial,16560,15154,-1406,-0.08,0.19,0.16,-0.03
53,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Millennial,41239,39804,-1435,-0.03,0.24,0.23,-0.01
17,17-3019,"Drafters, All Other",Millennial,5829,4383,-1446,-0.25,0.3,0.28,-0.02
13,13-2052,Personal Financial Advisors,Millennial,61926,60474,-1452,-0.02,0.27,0.26,-0.01
51,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Millennial,4798,3343,-1455,-0.3,0.23,0.22,-0.01
17,17-3022,Civil Engineering Technicians,Millennial,18634,17172,-1462,-0.08,0.25,0.24,-0.01
49,49-9099,"Installation, Maintenance, and Repair Workers, All Other",Millennial,44986,43523,-1463,-0.03,0.26,0.26,0
51,51-9071,Jewelers and Precious Stone and Metal Workers,Millennial,7217,5722,-1495,-0.21,0.17,0.17,0
51,51-9141,Semiconductor Processors,Millennial,5987,4484,-1503,-0.25,0.23,0.21,-0.02
53,53-2011,"Airline Pilots, Copilots, and Flight Engineers",Millennial,11591,10069,-1522,-0.13,0.16,0.15,-0.01
13,13-2099,"Financial Specialists, All Other",Millennial,44132,42594,-1538,-0.03,0.28,0.28,0
23,23-2011,Paralegals and Legal Assistants,Millennial,91083,89537,-1546,-0.02,0.33,0.31,-0.02
43,43-5021,Couriers and Messengers,Millennial,23527,21978,-1549,-0.07,0.2,0.2,0
51,51-2023,Electromechanical Equipment Assemblers,Millennial,10789,9240,-1549,-0.14,0.19,0.18,-0.01
17,17-1012,Landscape Architects,Millennial,6989,5407,-1582,-0.23,0.28,0.26,-0.02
47,47-4011,Construction and Building Inspectors,Millennial,19731,18142,-1589,-0.08,0.19,0.18,-0.01
41,41-9031,Sales Engineers,Millennial,15105,13515,-1590,-0.11,0.2,0.18,-0.02
43,43-3099,"Financial Clerks, All Other",Millennial,14384,12790,-1594,-0.11,0.32,0.31,-0.01
51,51-7021,Furniture Finishers,Millennial,4737,3141,-1596,-0.34,0.19,0.19,0
17,17-3012,Electrical and Electronics Drafters,Millennial,10069,8459,-1610,-0.16,0.3,0.29,-0.01
49,49-9043,"Maintenance Workers, Machinery",Millennial,18289,16663,-1626,-0.09,0.18,0.18,0
51,51-4111,Tool and Die Makers,Millennial,9214,7575,-1639,-0.18,0.1,0.1,0
27,27-1021,Commercial and Industrial Designers,Millennial,14158,12513,-1645,-0.12,0.31,0.31,0
49,49-9011,Mechanical Door Repairers,Millennial,6370,4725,-1645,-0.26,0.31,0.29,-0.02
27,27-4012,Broadcast Technicians,Millennial,11893,10247,-1646,-0.14,0.34,0.32,-0.02
47,47-2151,Pipelayers,Millennial,18561,16889,-1672,-0.09,0.28,0.28,0
43,43-9031,Desktop Publishers,Millennial,6581,4892,-1689,-0.26,0.29,0.28,-0.01
49,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Millennial,16693,14999,-1694,-0.1,0.23,0.23,0
51,51-9191,Adhesive Bonding Machine Operators and Tenders,Millennial,5780,4058,-1722,-0.3,0.26,0.24,-0.02
41,41-2022,Parts Salespersons,Millennial,65595,63871,-1724,-0.03,0.28,0.28,0
